company_id,name,search_rating,review_count,overall_rating,복지/급여,워라밸,사내문화,승진 기회,경영진,기업 추천율,CEO 지지율,성장 가능성,검색기업명
30309,삼보전기,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,삼보전기
387605,(주)케이원피에스,3.3,23,3.3,3.3,3.9,3.2,3.3,2.8,52%,39%,26%,케이원피에스
143524,에코라인(주),1.7,3,1.7,1.3,4.0,3.3,2.0,1.3,0%,0%,0%,에코라인
267420,대륭강업(주),3.0,1,3.0,3.0,2.0,4.0,2.0,3.0,0%,100%,0%,대륭강업
221641,농업회사법인신화농축(유),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,신화농축
192087,동양메디텍(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,동양메디텍
61656,(주)우리기술,2.5,33,2.5,2.4,3.1,2.6,2.3,2.2,33%,46%,9%,우리기술
351917,(주)푸르모디티,3.3,7,3.3,2.7,3.9,3.3,3.3,3.3,71%,71%,29%,푸르모디티
171739,신일전산(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,신일전산
173344,전산컴프라자(주),5.0,1,5.0,5.0,5.0,4.0,4.0,4.0,100%,100%,100%,전산컴프라자
87481,(주)케이티에스씨,1.8,64,1.8,1.6,2.2,1.8,1.5,1.5,13%,15%,2%,티에스씨
41238,닛소남해아그로(주),4.0,2,4.0,3.5,4.0,3.0,2.5,3.0,50%,50%,0%,닛소남해아그로
28243,서진금속,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,100%,100%,100%,서진금속
142345,와이티피건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,와이티피건설
134424,재보건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,재보건설
4510,프리코어,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,프리코어
43755,(주)금강,2.2,419,2.2,2.3,2.2,1.9,2.1,1.7,13%,17%,2%,금강
95976,레오건설(주),2.0,2,2.0,2.0,2.5,3.0,2.5,3.0,0%,0%,100%,레오건설
122191,동륭실업(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,동륭실업
189056,삼우티이에스(주),1.6,22,1.6,1.8,1.6,1.4,2.0,1.7,14%,41%,9%,삼우티이에스
3280,한국예탁결제원,4.2,122,4.2,4.4,4.4,3.7,3.6,3.3,89%,67%,39%,제원
351882,(주)오몰래,4.0,2,4.0,3.0,2.5,3.0,3.5,3.5,0%,100%,50%,오몰래
167314,유림개발(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,유림개발
88435,(주)에스티유니타스,2.5,1545,2.5,2.2,2.3,2.9,2.6,2.2,23%,33%,18%,에스티엔
67424,아이플래테아코리아(주),3.6,5,3.6,3.4,4.0,3.4,3.8,3.4,60%,100%,20%,아이플래테아
63555,엠에스라인이엔지,2.3,3,2.3,2.0,3.0,2.7,2.7,3.0,100%,100%,0%,엠에스라인이엔지
